index,strat,end,trig,duration
GRB141221A,-21.152,15.664,622006,36.816
GRB141220A,-0.424,6.808,621915,7.232
GRB141212B,0.76,11.268,621234,10.508000000000001
GRB141212A,0.0,0.288,621229,0.288
GRB141205A,0.128,1.792,620534,1.6640000000000001
GRB141130A,-38.936,23.92,620090,62.856
GRB141121A,163.78,644.784,619182,481.004
GRB141109B,-179.432,41.072,618032,220.504
GRB141109A,16.92,217.108,618024,200.188
GRB141102A,0.0,14.4,617316,14.4
GRB141031B,1.728,17.352,617149,15.624
GRB141031A,-18.424,445.576,617110,464.0
GRB141026A,21.74,161.216,616502,139.476
GRB141022A,-0.06,8.656,616061,8.716000000000001
GRB141020A,-5.788,9.108,615873,14.896
GRB141017A,0.776,56.584,615672,55.808
GRB141015A,0.0,11.0,615399,11.0
GRB141005A,0.416,3.888,614415,3.472
GRB141004A,-0.344,3.58,614390,3.924
GRB140930B,-0.064,0.78,614094,0.8440000000000001
GRB140927A,2.176,8.432,613775,6.256
GRB140919A,3.064,155.368,613160,152.304
GRB140916A,1.24,70.216,612804,68.976
GRB140907A,-63.344,16.656,611933,80.0
GRB140903A,0.004,0.3,611599,0.296
GRB140901B,0.0,6.4,611389,6.4
GRB140828A,-4.54,14.608,610953,19.148
GRB140824A,0.372,3.456,610501,3.084
GRB140818B,-2.872,28.68,609885,31.552
GRB140817A,-4.396,253.948,609736,258.344
GRB140730A,-13.4,27.496,607742,40.896
GRB140719B,-12.968,41.032,605700,54.0
GRB140719A,-31.488,16.512,605612,48.0
GRB140716A-2,4.8,129.6,604793,124.8
GRB140716A-1,4.8,129.6,604792,124.8
GRB140713A,0.036,6.052,604232,6.016
GRB140710A,-0.288,2.712,603954,3.0
GRB140709B,-6.232,150.5,603866,156.732
GRB140709A,-32.492,72.7,603810,105.19200000000001
GRB140706A,-14.392,33.452,603587,47.843999999999994
GRB140703A,-0.068,68.576,603243,68.64399999999999
GRB140629A,-3.624,34.648,602884,38.272000000000006
GRB140628A,-0.364,10.176,602803,10.540000000000001
GRB140626A,-7.872,8.288,602604,16.16
GRB140622A,-0.012,0.12,602278,0.132
GRB140619A,79.112,312.16,602080,233.04800000000003
GRB140614B,-1.168,48.704,601662,49.872
GRB140614A,10.416,87.808,601646,77.39200000000001
GRB140611A,0.0,3.2,601292,3.2
GRB140610A,-1.636,91.616,601259,93.252
GRB140607A,-14.088,80.68,601051,94.768
GRB140606A,-0.02,0.32,600951,0.34
GRB140529A,0.32,8.464,00091901003,8.144
GRB140521A,0.48,10.356,599546,9.876
GRB140518A,-2.648,57.876,599287,60.524
GRB140516A,-0.024,0.232,599188,0.256
GRB140515A,-20.612,2.804,599037,23.415999999999997
GRB140512A,-6.16,147.952,598819,154.112
GRB140509A,-2.832,20.384,598497,23.216
GRB140506A,0.1,111.204,598284,111.104
GRB140502A,-0.952,14.168,597841,15.12
GRB140430A,0.436,174.024,597722,173.588
GRB140428A,-13.28,4.144,597519,17.424
GRB140423A,-50.832,83.312,596901,134.144
GRB140419A,-2.444,77.632,596426,80.07600000000001
GRB140414A,0.016,0.512,00084568002,0.496
GRB140413A,-29.192,103.784,595616,132.976
GRB140412A,-31.632,16.368,595608,48.0
GRB140408A,-0.54,3.088,595141,3.628
GRB140402A,0.032,0.928,594308,0.896
GRB140331A,91.168,300.824,594081,209.656
GRB140323A,-4.152,102.336,592916,106.488
GRB140320A,-0.176,0.336,592544,0.512
GRB140318A,3.528,11.132,592204,7.603999999999999
GRB140311A,-2.2,68.28,591390,70.48
GRB140305A,-0.24,20.064,590446,20.304
GRB140304A,-2.192,12.592,590206,14.784
GRB140302A,0.64,99.364,589685,98.724
GRB140301A,-7.704,20.1,589590,27.804000000000002
GRB140215A,-0.304,25.328,586680,25.631999999999998
GRB140213A,-4.48,55.452,586569,59.932
GRB140211A,-14.276,95.256,586289,109.532
GRB140209A,1.704,22.136,586071,20.432
GRB140206A,1.88,96.068,585834,94.188
GRB140129B,0.172,1.532,585149,1.36
GRB140129A,0.992,3.992,585128,3.0
GRB140118A,-61.016,23.076,584136,84.092
GRB140114A,43.608,183.556,583861,139.948
GRB140108A,-1.516,93.716,583338,95.232
GRB140103A,-11.56,5.784,582773,17.344
GRB140102A,0.456,55.536,582760,55.08
GRB131229A,0.384,48.384,582374,48.0
GRB131227A,-0.34,17.648,582184,17.988
GRB131226A,0.38,7.608,582123,7.228
GRB131224B,0.308,8.656,00032923023,8.348
GRB131205A,-0.06,20.284,580267,20.343999999999998
GRB131202A,-0.416,29.78,579982,30.196
GRB131128A,-0.904,2.096,579683,3.0
GRB131127A,-57.408,37.564,579571,94.97200000000001
GRB131120A,-68.408,62.024,578227,130.43200000000002
GRB131117A,0.04,10.92,577968,10.88
GRB131110A,3.2,80.0,00020326002,76.8
GRB131105A,11.192,123.4,576738,112.208
GRB131103A,-7.404,7.804,576562,15.208
GRB131031A,0.0,6.4,576277,6.4
GRB131030A,-2.252,37.172,576238,39.424
GRB131024B,-4.776,92.04,575754,96.816
GRB131024A,-111.0,1.0,575707,112.0
GRB131018A,24.808,98.024,574935,73.21600000000001
GRB131004A,-0.184,1.352,573190,1.536
GRB131002B,-4.616,47.384,572742,52.0
GRB131002A,0.116,56.644,572721,56.528
GRB131001A,0.0,5.0,00082217006,5.0
GRB130929A,-1.48,10.76,572308,12.24
GRB130925A,-48.892,111.404,571830,160.296
GRB130919A,-7.176,92.508,571271,99.684
GRB130913A,1.6,43.2,570531,41.6
GRB130912A,0.016,0.3,570465,0.284
GRB130907A,-40.244,324.124,569992,364.36800000000005
GRB130831B,-11.336,26.248,568855,37.584
GRB130831A,0.612,30.804,568849,30.192
GRB130829A,32.9,84.784,568417,51.88400000000001
GRB130822A,-0.004,0.04,567163,0.044
GRB130816B,-3.164,5.512,566561,8.676
GRB130816A,-27.772,2.204,566545,29.976
GRB130812A,-0.028,7.6,566228,7.627999999999999
GRB130807A,-2.52,290.52,565651,293.03999999999996
GRB130806A,-4.248,1.532,565562,5.78
GRB130803A,0.68,44.252,565263,43.572
GRB130727A,0.916,14.48,564342,13.564
